127.0.0.1 - - [20/Oct/2016:16:41:23 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:27 +0900] "GET /XmlProject/two.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:30 +0900] "GET /XmlProject/one.html HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:33 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:39 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:45 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:48 +0900] "GET /XmlProject/one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:41:51 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:03 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:06 +0900] "GET /XmlProject/one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:15 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:24 +0900] "GET /XmlProject/one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:27 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:39 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:48 +0900] "GET /XmlProject/one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:42:51 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:43:09 +0900] "GET /XmlProject/two.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2016:16:43:12 +0900] "GET /XmlProject/one.html HTTP/1.1" 304 -
